Requirement_ID,Requirement_Class,Domain,Source_Number,Requirement,Provenance,Source_Registry,Use_Case_or_Control,UI_Reference,UI_Surface,Decision_Reference,Design_Data_Reference,Test_Target,SRS_Trace_Status,Implementation_Issue,Implementation_PR,Test_Evidence,Result,Notes
FR-AUTH-001,Source FR,Authentication,1,Customer account registration,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-001,docs/ui/account-profile.md,Registration,"D-001, D-003, D-009",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-002,Source FR,Authentication,2,Customer email verification,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-002,docs/ui/account-profile.md,Email Verification,"D-001, D-009",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-003,Source FR,Authentication,3,Customer login,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-003,docs/ui/account-profile.md,Login,"D-001, D-003, D-084",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-004,Source FR,Authentication,4,Customer logout,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-004,docs/ui/account-profile.md,Logout,D-084,docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-005,Source FR,Authentication,5,Password reset,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-005,docs/ui/account-profile.md,Password Reset,"D-003, D-084",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-006,Source FR,Authentication,6,Customer account activation,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-002,docs/ui/account-profile.md,Email Verification,"D-001, D-009",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-AUTH-007,Source FR,Authentication,7,Customer account deactivation,Client/source baseline,docs/requirements/functional-requirements.md,UC-AUTH-006,docs/ui/account-profile.md,Account Deactivation,"D-002, D-084, D-100",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit account lifecycle/eligibility; integration auth/session persistence; E2E register→verify→sign in; negative invalid/unverified/deactivated access.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-001,Source FR,Profile & Fragrance Identity,8,Customer profile management,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-001,docs/ui/account-profile.md,Profile Management,"D-005, D-099",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-002,Source FR,Profile & Fragrance Identity,9,Delivery address management,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-002,docs/ui/account-profile.md,Delivery Address,"D-004, D-099",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
FR-PROFILE-003,Source FR,Profile & Fragrance Identity,10,Billing address management,Client/source baseline,docs/requirements/functional-requirements.md,UC-PROFILE-003,docs/ui/account-profile.md,Billing Address,"D-004, D-039, D-099",docs/requirements/data-dictionary.csv; docs/requirements/erd-logical-detailed.mmd; docs/requirements/decision-register.md,Unit profile/identity rules; integration ownership/persistence; E2E profile/address/preferences; negative cross-customer access and invalid input.,Mapped,TBD post-SRS freeze,TBD post-SRS freeze,PLANNED — no execution evidence,NOT EXECUTED,
