WBS_ID,Work_Package,Planned_Start_Week,Planned_End_Week,Primary_Output,Dependency
1.0,Project initiation and planning,1,1,"Team/project setup; scope; preliminary planning",None
1.1,Requirements elicitation,1,2,"Reviewed requirements; actors; scope",1.0
1.2,Interim planning artefacts,2,2,"Interim SRS; initial WBS/Gantt; feasibility/risk",1.1
2.0,Final SRS baseline,2,5,"Canonical SRS baseline",1.1
2.1,Use cases and UI design,3,5,"Use cases; UI/storyboard evidence",2.0
2.2,Architecture and DFD/UML design,3,5,"Architecture; report diagrams",2.0
2.3,Data design and DPIA,3,5,"ERD; data dictionary; DPIA",2.0
2.4,Testing and implementation planning,4,5,"Test/implementation/methodology/environment plans",2.0
2.5,Final SRS review and freeze,5,5,"Reviewed/frozen SRS v1.0",2.1-2.4
3.0,Application foundation,6,6,"Next.js/TS; Prisma/Supabase; seed; CI",2.5
3.1,Authentication account and RBAC,6,6,"Customer/admin identity foundation",3.0
3.2,Catalogue and data administration,6,7,"Catalogue persistence and admin management",3.0
4.0,Discovery and personalisation,7,7,"Discovery; profile; identity; quiz",3.1-3.2
4.1,AI recommendation boundary,7,8,"AI provider adapter and recommendation flow",4.0
5.0,Cart and wishlist,7,7,"Visitor/customer cart and wishlist",3.1-3.2
5.1,Checkout order and payment core,7,8,"Checkout; Stripe sandbox; order/payment; invoice",5.0
5.2,Inventory and production,7,8,"Inventory; reservations; movements; batches",3.2-5.1
6.0,Delivery and tracking,8,8,"Internal simulator; shipment/tracking",5.1
6.1,Support and AI assistance,8,8,"Public/auth support and AI boundary",3.1-4.1-5.1
6.2,Admin and reporting,8,9,"Admin operations; dashboard; audit/reporting",3.1-6.1
6.3,Derived participation and promotions,8,9,"Review; loyalty; referral; promotions",5.1-6.2
7.0,Mid-project integration review,9,9,"Integrated progress and iteration evidence",3.0-6.3
8.0,Hardening and regression,9,10,"Defect/security/transaction regression",7.0
8.1,NFR validation,10,10,"Performance/accessibility/browser/recovery evidence",7.0
8.2,Deployment and user documentation,10,10,"Setup; operation; user/admin documentation",7.0
8.3,Traceability and evidence,10,11,"Requirement-to-result evidence",7.0-8.2
9.0,Final project integration,11,11,"Final known-good build and regression",8.0-8.3
9.1,Final report and handover,11,11,"Final report; demo/handover package",9.0
