Entity,Attribute,Logical Type,Key / Constraint,Nullable,Definition,Traceability
CUSTOMER,id,UUID,PK,No,Opaque customer identifier,D-003
CUSTOMER,name,String,,No,Customer display/account name collected at registration,D-003
CUSTOMER,email,String,UK,No,Unique customer login identifier,D-003
CUSTOMER,account_status,Enum,,No,Customer account lifecycle status,"D-001,D-002"
CUSTOMER,email_verified_at,DateTime,,Yes,Time email verification completed,D-001
CUSTOMER,created_at,DateTime,,No,Customer record creation time,D-003
CUSTOMER,deactivated_at,DateTime,,Yes,Time self-deactivation occurred,D-002
ADDRESS,id,UUID,PK,No,Address record identifier,D-004
ADDRESS,customer_id,UUID,FK,No,Owning customer,D-004
ADDRESS,address_type,Enum,Composite UK with customer_id,No,Current DELIVERY or BILLING address type,D-004
ADDRESS,recipient_name,String,,No,Recipient name for address use,D-004
ADDRESS,line1,String,,No,Primary street address line,D-004
ADDRESS,line2,String,,Yes,Optional secondary street address line,D-004
ADDRESS,suburb,String,,No,Suburb/locality,D-004
ADDRESS,state,String,,No,State/region,D-004
ADDRESS,postcode,String,,No,Postal code,D-004
ADDRESS,country,String,,No,Country,D-004
ADDRESS,updated_at,DateTime,,No,Last profile-address update time,D-004
FRAGRANCE_PREFERENCE_PROFILE,id,UUID,PK,No,Preference-profile identifier,D-005
FRAGRANCE_PREFERENCE_PROFILE,customer_id,UUID,"FK, UK",No,One preference profile per customer,D-005
FRAGRANCE_PREFERENCE_PROFILE,preferred_intensity,String,,Yes,Optional preferred perfume intensity,D-005
FRAGRANCE_PREFERENCE_PROFILE,sensitivity_avoidance,String,,Yes,Optional non-medical fragrance avoidance/preference,D-006
FRAGRANCE_PREFERENCE_PROFILE,updated_at,DateTime,,No,Last preference update time,D-007
PROFILE_FAVOURITE_NOTE,profile_id,UUID,"PK, FK",No,Preference profile selecting a note,D-005
PROFILE_FAVOURITE_NOTE,note_id,UUID,"PK, FK",No,Selected canonical fragrance note,"D-005,D-015"
FRAGRANCE_IDENTITY,id,UUID,PK,No,Generated Fragrance Identity identifier,D-007
FRAGRANCE_IDENTITY,profile_id,UUID,"FK, UK",No,Profile from which current identity is generated,D-007
